Timestamp,What is your background in philosophy,Where in the world did most of your childhood education and upbringing take place? ,I have thoughts,I can see red,I can smell coffee,There is something it is like to see red,There is a property of what it is like to see red,There are phenomenal properties,Consciousness exists,I know what Consciousness is,Consciousness cannot be explained by Science,Consciousness can be explained by Philosophy,It is possible for a Computer to have Consciousness,Consciousness is private (someone else could not know my consciousness) ,I can imagine myself as a bat,I can know what it's like to be a bat,The smell of coffee is a private phenomenal property,I have qualia,It is possible for everything about my body and brain to be the same and for me not to have a mind,I have an intuition that Consciousness exists,There is something in common to all of my sensory experiences,Whether or not I am seeing red is a fact,There is something in common to all of my red experiences,I would describe my views on mind as
11/11/2024 12:35:41,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly disagree,Strongly disagree,Slightly disagree,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly agree,Strongly agree,Materialist
11/11/2024 12:35:51,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly disagree,Slightly disagree,Strongly agree,Unsure
11/11/2024 12:36:29,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly disagree,Unsure: I understand the question,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Materialist
11/11/2024 12:40:24,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Strongly Disagree,Unsure: I understand the question,Strongly agree,Slightly disagree,Strongly agree,Strongly Disagree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Unsure: I understand the question,Slightly disagree,Strongly agree,Materialist
11/11/2024 12:41:00,Personal Interest (I read philosophy books and listen to philosophy podcasts),Africa,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly Disagree,Strongly disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly Disagree,Slightly Disagree,Slightly disagree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Unsure
11/11/2024 12:42:21,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Unsure
11/11/2024 12:44:21,Personal Interest (I read philosophy books and listen to philosophy podcasts),Middle East,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly agree,Unsure: I understand the question,Slightly agree,Strongly agree,Unsure
11/11/2024 12:45:49,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Slightly agree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 12:53:03,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly disagree,Strongly Disagree,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Strongly Disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Strongly agree,Slightly agree,Materialist
11/11/2024 12:56:06,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly agree,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly agree,Unsure
11/11/2024 12:58:53,Personal Interest (I read philosophy books and listen to philosophy podcasts),Africa,Slightly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,,,,,,Unsure: I understand the question,,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Unsure
11/11/2024 13:00:01,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Slightly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Unsure: I understand the question,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Unsure: I understand the question,Strongly Disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Materialist
11/11/2024 13:01:10,Personal Interest (I read philosophy books and listen to philosophy podcasts),"soviet style education in eastern europe in the nineties, not sure if it counts as ""western""",Unsure: I understand the question,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Slightly agree,Unsure: I understand the question,Strongly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,process realist
11/11/2024 13:11:22,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Dualist
11/11/2024 13:13:25,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Materialist
11/11/2024 13:14:07,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Dualist
11/11/2024 13:14:09,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly agree,Materialist
11/11/2024 13:14:43,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly Disagree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Confused
11/11/2024 13:15:14,Some formal education in philosophy (high school or otherwise),GREAT BRITAIN,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Slightly disagree,Slightly agree,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,something to do with biological function
11/11/2024 13:18:30,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Unsure: I understand the question,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Materialist
11/11/2024 13:20:09,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly agree,Strongly Disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 13:21:03,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Mysterian
11/11/2024 13:22:44,Personal Interest (I read philosophy books and listen to philosophy podcasts),Caribbean,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Unsure: I understand the question,Slightly agree,Slightly disagree,Strongly Disagree,Slightly agree,Strongly agree,Unsure: I understand the question,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Materialist
11/11/2024 13:24:02,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Strongly Disagree,Unsure: I understand the question,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Unsure
11/11/2024 13:24:08,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Slightly disagree,Materialist
11/11/2024 13:24:59,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly disagree,Strongly Disagree,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly agree,Unsure
11/11/2024 13:26:47,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Unsure: I understand the question,Strongly Disagree,Strongly agree,Strongly agree,Unsure: I understand the question,Strongly agree,Unsure
11/11/2024 13:27:11,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly disagree,Slightly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Materialist
11/11/2024 13:27:15,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Materialist
11/11/2024 13:27:34,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Slightly disagree,Unsure: I understand the question,Strongly Disagree,Strongly agree,Unsure: I understand the question,Strongly agree,Strongly Disagree,Strongly agree,Slightly disagree,Conceptualist (at least partially)/Physicalist in sciences (due to a form of methodological commitment of sciences)
11/11/2024 13:27:38,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly Disagree,Strongly agree,Slightly disagree,Strongly Disagree,Slightly agree,Strongly agree,Strongly Disagree,Slightly agree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Dualist
11/11/2024 13:30:11,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Materialist
11/11/2024 13:32:33,No background,Asia,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Slightly agree,Strongly agree,Unsure: I understand the question,Slightly agree,Unsure
11/11/2024 13:38:00,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Materialist
11/11/2024 13:40:32,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Strongly agree,Slightly disagree,Strongly Disagree,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Monist
11/11/2024 13:41:56,Personal Interest (I read philosophy books and listen to philosophy podcasts),Middle East,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure
11/11/2024 13:43:45,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I do not understand the question,Strongly agree,Strongly agree,Unsure: I understand the question,Strongly Disagree,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Materialist
11/11/2024 13:48:05,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly Disagree,Slightly disagree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Unsure
11/11/2024 13:50:16,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Materialist
11/11/2024 13:50:30,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Unsure
11/11/2024 13:56:45,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly disagree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Dualist
11/11/2024 13:57:08,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Idealist
11/11/2024 13:58:41,I am an academic full-time philosopher,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Qualia Quietist
11/11/2024 14:05:24,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Slightly agree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly Disagree,Slightly disagree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Materialist
11/11/2024 14:11:02,Personal Interest (I read philosophy books and listen to philosophy podcasts),Central America,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly agree,Slightly disagree,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure
